Hospital Name,Overall rating
ALLIANCEHEALTH PONCA CITY,3.0
ALLIANCEHEALTH SEMINOLE,3.0
ALLIANCEHEALTH WOODWARD,3.0
ALTA BATES SUMMIT MEDICAL CENTER,3.0
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2.0
ALTA VIEW HOSPITAL,4.0
ALTON MEMORIAL HOSPITAL,3.0
ALTRU HOSPITAL,3.0
ALTUS BAYTOWN HOSPITAL,
ALVARADO HOSPITAL MEDICAL CENTER,3.0
AMERICAN FORK HOSPITAL,4.0
AMERY HOSPITAL & CLINIC,4.0
ANAHEIM GLOBAL MEDICAL CENTER,2.0
ANDALUSIA REGIONAL HOSPITAL,3.0
ANDERSON COUNTY HOSPITAL,
ANDERSON HOSPITAL,3.0
ANDERSON REGIONAL MEDICAL CTR,3.0
ANDERSON RMC SOUTH,
ANDROSCOGGIN VALLEY HOSPITAL,3.0
ANGEL MEDICAL CENTER,3.0
"ANIMAS SURGICAL HOSPITAL, LLC",
ANMED HEALTH,3.0
ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,
ANNA JAQUES HOSPITAL,3.0
ANNE ARUNDEL MEDICAL CENTER,
ANNE BATES LEACH EYE HOSPITAL,
ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,
ANSON GENERAL HOSPITAL,3.0
ANTELOPE MEMORIAL HOSPITAL,3.0
ANTELOPE VALLEY HOSPITAL,1.0
ANTHONY MEDICAL CENTER,
APPLETON MUNICIPAL HOSPITAL,
APPLING HOSPITAL,3.0
ARBUCKLE MEMORIAL HOSPITAL AUTHORITY,3.0
ARIA HEALTH,2.0
ARISE AUSTIN MEDICAL CENTER,
ARIZONA SPECIALTY HOSPITAL,
ARIZONA SPINE AND JOINT HOSPITAL,
ARKANSAS CHILDREN'S HOSPITAL,
"ARKANSAS HEART HOSPITAL, LLC",4.0
ARKANSAS METHODIST MEDICAL CENTER,2.0
ARKANSAS SURGICAL HOSPITAL,5.0
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,3.0
ARNOT OGDEN MEDICAL CENTER,2.0
AROOSTOOK MEDICAL CENTER,3.0
ARROWHEAD REGIONAL MEDICAL CENTER,2.0
ARTESIA GENERAL HOSPITAL,3.0
ASANTE ASHLAND COMMUNITY HOSPITAL,4.0
ASANTE ROGUE REGIONAL MEDICAL CENTER,4.0
ASANTE THREE RIVERS MEDICAL CENTER,3.0
ASHE MEMORIAL HOSPITAL,4.0
ASHLAND HEALTH CENTER,
ASHLEY COUNTY MEDICAL CENTER,3.0
ASHLEY MEDICAL CENTER,
ASHLEY REGIONAL MEDICAL CENTER,3.0
ASHTABULA COUNTY MEDICAL CENTER,3.0
"ASOCIACION HOSPITAL DEL MAESTRO, INC",
ASPEN MOUNTAIN MEDICAL CENTER,
ASPEN VALLEY HOSPITAL,4.0
"ASPIRE BEHAVIORAL HEALTH OF CONROE, LLC",
"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",4.0
ASPIRUS IRONWOOD HOSPITAL,3.0
ASPIRUS KEWEENAW HOSPITAL,3.0
ASPIRUS LANGLADE HOSPITAL,4.0
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",4.0
"ASPIRUS ONTONAGON HOSPITAL, INC",
ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,3.0
ASPIRUS WAUSAU HOSPITAL,3.0
ASSUMPTION COMMUNITY HOSPITAL,
ATCHISON HOSPITAL,3.0
ATHENS LIMESTONE HOSPITAL,2.0
ATHOL MEMORIAL HOSPITAL,3.0
ATLANTIC GENERAL HOSPITAL,
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,3.0
ATMORE COMMUNITY HOSPITAL,4.0
ATOKA COUNTY MEDICAL CENTER,
ATRIUM MEDICAL CENTER,4.0
AU MEDICAL CENTER,1.0
AUBURN MEMORIAL HOSPITAL,2.0
AUDUBON COUNTY MEMORIAL HOSPITAL,
AUGUSTA HEALTH,3.0
AULTMAN HOSPITAL,4.0
AULTMAN ORRVILLE HOSPITAL,3.0
AURELIA OSBORN FOX MEMORIAL HOSPITAL,2.0
AURORA BAYCARE MEDICAL CTR,4.0
AURORA LAKELAND MEDICAL CENTER,4.0
AURORA MEDICAL CENTER,4.0
AURORA MEDICAL CTR KENOSHA,4.0
AURORA MEDICAL CTR MANITOWOC COUNTY,4.0
AURORA MEDICAL CTR OSHKOSH,4.0
AURORA MEDICAL CTR WASHINGTON COUNTY,4.0
AURORA MEMORIAL HOSPITAL BURLINGTON,4.0
AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,4.0
AURORA ST LUKES MEDICAL CENTER,4.0
AURORA WEST ALLIS MEDICAL CENTER,4.0
AUXILIO MUTUO HOSPITAL,2.0
AVENTURA HOSPITAL AND MEDICAL CENTER,3.0
AVERA CREIGHTON HOSPITAL,
AVERA DE SMET MEMORIAL HOSPITAL - CAH,
AVERA DELLS AREA HOSPITAL  - CAH,
AVERA FLANDREAU HOSPITAL - CAH,
AVERA GETTYSBURG HOSPITAL,
AVERA GREGORY HOSPITAL,
AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,
AVERA HEART HOSPITAL OF SOUTH DAKOTA,5.0
AVERA HOLY FAMILY HOSPITAL,4.0
AVERA MARSHALL REGIONAL MEDICAL CTR,3.0
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,4.0
AVERA QUEEN OF PEACE,4.0
AVERA SACRED HEART HOSPITAL,4.0
AVERA ST ANTHONY'S HOSPITAL,3.0
AVERA ST BENEDICT HEALTH CENTER - CAH,3.0
AVERA ST LUKES,5.0
AVERA ST MARY'S HOSPITAL,4.0
AVERA TYLER HOSPITAL,
AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH,
AVOYELLES HOSPITAL,3.0
BACON COUNTY HOSPITAL,3.0
"BAILEY MEDICAL CENTER, LLC",4.0
BAKERSFIELD HEART HOSPITAL,2.0
BAKERSFIELD MEMORIAL HOSPITAL,2.0
BALLINGER MEMORIAL HOSPITAL,
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,3.0
BANNER BAYWOOD MEDICAL CENTER,4.0
BANNER BOSWELL MEDICAL CENTER,4.0
BANNER CASA GRANDE MEDICAL CENTER,2.0
BANNER CHURCHILL COMMUNITY HOSPITAL,
BANNER DEL E. WEBB MEDICAL CENTER,4.0
BANNER DESERT MEDICAL CENTER,3.0
BANNER ESTRELLA MEDICAL CENTER,4.0
BANNER FORT COLLINS MEDICAL CENTER,
BANNER GATEWAY MEDICAL CENTER,3.0
BANNER GOLDFIELD MEDICAL CENTER,3.0
BANNER HEART HOSPITAL,5.0
BANNER IRONWOOD MEDICAL CENTER,4.0
BANNER LASSEN MEDICAL CENTER,4.0
BANNER PAYSON MEDICAL CENTER,3.0
BANNER THUNDERBIRD MEDICAL CENTER,3.0
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2.0
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1.0
BAPTIST BEAUMONT HOSPITAL,3.0
BAPTIST EASLEY HOSPITAL,3.0
BAPTIST EMERGENCY HOSPITAL,4.0
BAPTIST HEALTH CORBIN,3.0
BAPTIST HEALTH FLOYD,2.0
BAPTIST HEALTH LA GRANGE,3.0
BAPTIST HEALTH LEXINGTON,4.0
BAPTIST HEALTH LOUISVILLE,4.0
BAPTIST HEALTH MADISONVILLE,3.0
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,3.0
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3.0
BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,3.0
BAPTIST HEALTH MEDICAL CENTER-CONWAY,
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,3.0
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,3.0
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,4.0
BAPTIST HEALTH PADUCAH,3.0
BAPTIST HEALTH RICHMOND,3.0
BAPTIST HOSPITAL,3.0
BAPTIST HOSPITAL OF MIAMI,3.0
BAPTIST MEDICAL CENTER,3.0
BAPTIST MEDICAL CENTER - ATTALA,3.0
BAPTIST MEDICAL CENTER - BEACHES,4.0
BAPTIST MEDICAL CENTER - NASSAU,3.0
BAPTIST MEDICAL CENTER EAST,5.0
BAPTIST MEDICAL CENTER JACKSONVILLE,3.0
BAPTIST MEDICAL CENTER SOUTH,3.0
BAPTIST MEDICAL CENTER YAZOO,2.0
BAPTIST MEDICAL CENTER-LEAKE,
BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,3.0
BAPTIST MEMORIAL HOSPITAL,2.0
BAPTIST MEMORIAL HOSPITAL BOONEVILLE,4.0
BAPTIST MEMORIAL HOSPITAL DESOTO,2.0
BAPTIST MEMORIAL HOSPITAL HUNTINGDON,3.0
BAPTIST MEMORIAL HOSPITAL NORTH MS,4.0
BAPTIST MEMORIAL HOSPITAL TIPTON,3.0
BAPTIST MEMORIAL HOSPITAL UNION CITY,3.0
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,4.0
BAPTIST ST ANTHONY'S HOSPITAL,4.0
BARAGA COUNTY MEMORIAL HOSPITAL,2.0
BARBOURVILLE ARH HOSPITAL,1.0
BARIX CLINICS OF PENNSYLVANIA,
BARNES JEWISH HOSPITAL,2.0
BARNES-JEWISH ST PETERS HOSPITAL,2.0
BARNES-JEWISH WEST COUNTY HOSPITAL,4.0
BARNES-KASSON COUNTY HOSPITAL,3.0
"BARNESVILLE HOSPITAL ASSOCIATION, INC",4.0
BARRETT HOSPITAL & HEALTHCARE,4.0
BARSTOW COMMUNITY HOSPITAL,3.0
BARTLETT REGIONAL HOSPITAL,3.0
BARTON COUNTY MEMORIAL HOSPITAL,4.0
BARTON MEMORIAL HOSPITAL,3.0
BARTOW REGIONAL MEDICAL CENTER,3.0
BATES COUNTY MEMORIAL HOSPITAL,3.0
BATH COMMUNITY HOSPITAL,
BATON ROUGE GENERAL MEDICAL CENTER,3.0
BATTLE MOUNTAIN GENERAL HOSPITAL,
BAUM HARMON MERCY HOSPITAL,
BAXTER REGIONAL MEDICAL CENTER,3.0
BAY AREA HOSPITAL,1.0
BAY AREA MEDICAL CENTER,4.0
"BAY AREA REGIONAL MEDICAL CENTER, LLC",3.0
BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,3.0
BAY PARK COMMUNITY HOSPITAL,4.0
BAYFRONT HEALTH - ST PETERSBURG,2.0
BAYFRONT HEALTH BROOKSVILLE,2.0
BAYFRONT HEALTH DADE CITY,2.0
BAYFRONT HEALTH PORT CHARLOTTE,2.0
BAYFRONT HEALTH PUNTA GORDA,2.0
BAYHEALTH - KENT GENERAL HOSPITAL,3.0
BAYHEALTH - MILFORD MEMORIAL HOSPITAL,4.0
BAYLOR EMERGENCY MEDICAL CENTER,
BAYLOR HEART AND VASCULAR HOSPITAL,4.0
BAYLOR MEDICAL CENTER AT FRISCO,4.0
BAYLOR MEDICAL CENTER AT IRVING,3.0
BAYLOR MEDICAL CENTER AT TROPHY CLUB,
BAYLOR MEDICAL CENTER AT UPTOWN,
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,
BAYLOR REGIONAL MEDICAL CENTER AT PLANO,4.0
BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C,
BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,3.0
BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO,4.0
BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,
BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR,
BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND,3.0
BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,4.0
BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,3.0
BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,4.0
BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,4.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON,2.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER CENTENNIAL,2.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE,2.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,3.0
BAYLOR SCOTT AND WHITE MEDICAL CENTER WHITE ROCK,3.0
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,
BAYLOR UNIVERSITY MEDICAL CENTER,4.0
BAYSHORE COMMUNITY HOSPITAL,3.0
BAYSHORE MEDICAL CENTER,2.0
BAYSIDE COMMUNITY HOSPITAL,
BAYSTATE FRANKLIN MEDICAL CENTER,3.0
BAYSTATE MARY LANE HOSPITAL,4.0
BAYSTATE MEDICAL CENTER,3.0
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,4.0
BEACHAM MEMORIAL HOSPITAL,4.0
BEAR LAKE MEMORIAL HOSPITAL,
BEAR RIVER VALLEY HOSPITAL,
BEAR VALLEY COMMUNITY HOSPITAL,
BEARTOOTH BILLINGS CLINIC,
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",4.0
BEAUFORT COUNTY MEMORIAL HOSPITAL,4.0
BEAUMONT HOSPITAL - DEARBORN,3.0
BEAUMONT HOSPITAL - FARMINGTON HILLS,2.0
BEAUMONT HOSPITAL - TAYLOR,4.0
BEAUMONT HOSPITAL - TRENTON,3.0
BEAUMONT HOSPITAL - WAYNE,2.0
"BEAUMONT HOSPITAL, GROSSE POINTE",4.0
"BEAUMONT HOSPITAL, ROYAL OAK",3.0
"BEAUMONT HOSPITAL, TROY",3.0
BEAUREGARD MEMORIAL HOSPITAL,3.0
BEAVER COUNTY MEMORIAL HOSPITAL,
BEAVER DAM COMMUNITY HOSPITAL,4.0
BEAVER VALLEY HOSPITAL,
BECKLEY ARH HOSPITAL,2.0
BEDFORD MEMORIAL HOSPITAL,3.0
BEEBE MEDICAL CENTER,3.0
BELL HOSPITAL,4.0
BELLA VISTA HOSPITAL,
BELLEVUE HOSPITAL,4.0
BELLEVUE HOSPITAL CENTER,1.0
BELLEVUE MEDICAL CENTER,3.0
BELLIN HEALTH OCONTO HOSPITAL,
BELLIN MEMORIAL HOSPITAL,4.0
BELLVILLE GENERAL HOSPITAL,3.0
BELMONT COMMUNITY HOSPITAL,
BELOIT MEMORIAL HOSPITAL,3.0
BELTON REGIONAL MEDICAL CENTER,3.0
BENEFIS HOSPITALS INC,4.0
BENEFIS TETON MEDICAL CENTER,
BENEWAH COMMUNITY HOSPITAL,
BENNETT COUNTY HOSPITAL AND NURSING HOME - CAH,
BENSON HOSPITAL,
BERGEN REGIONAL MEDICAL CENTER,3.0
BERGER HOSPITAL,3.0
BERKELEY MEDICAL CENTER,3.0
BERKSHIRE MEDICAL CENTER INC - 1,4.0
BERTRAND CHAFFEE HOSPITAL,2.0
BERWICK HOSPITAL CENTER,3.0
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,3.0
BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,3.0
BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,4.0
BETH ISRAEL DEACONESS MEDICAL CENTER,3.0
BETHESDA HOSPITAL EAST,3.0
BETHESDA NORTH,4.0
BETSY JOHNSON REGIONAL  HOSPITAL,3.0
BEVERLY HOSPITAL,3.0
BEVERLY HOSPITAL CORPORATION,4.0
BIBB MEDICAL CENTER,
BIENVILLE MEDICAL CENTER,
BIG BEND REGIONAL MEDICAL CENTER,3.0
BIG HORN CO MEMORIAL HOSPITAL,
BIG SANDY MEDICAL CENTER,
BIG SKY MEDICAL CENTER,
BIGFORK VALLEY HOSPITAL,
BILLINGS CLINIC HOSPITAL,4.0
BINGHAM MEMORIAL HOSPITAL,4.0
BLACK HILLS SURGICAL HOSPITAL LLP,
BLACK RIVER COMMUNITY MEDICAL CENTER,3.0
BLACK RIVER MEMORIAL HOSPITAL,4.0
BLACKWELL REGIONAL HOSPITAL,4.0
BLAKE MEDICAL CENTER,2.0
BLANCHARD VALLEY HOSPITAL,4.0
BLECKLEY MEMORIAL HOSPITAL,3.0
BLESSING HOSPITAL,3.0
BLOUNT MEMORIAL HOSPITAL,2.0
BLUE HILL MEMORIAL HOSPITAL,3.0
BLUE MOUNTAIN HOSPITAL,
BLUE MOUNTAIN HOSPITAL-GNADEN HUETTEN CAMPUS,2.0
"BLUE RIDGE REGIONAL HOSPITAL, INC",4.0
"BLUE VALLEY HOSPITAL, INC",
BLUEFIELD REGIONAL MEDICAL CENTER,3.0
BLUEGRASS COMMUNITY HOSPITAL,
BLUFFTON HOSPITAL,
BLUFFTON REGIONAL MEDICAL CENTER,3.0
BLYTHEDALE CHILDREN'S HOSPITAL,
BMH-CALHOUN,3.0
BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,
BOCA RATON REGIONAL HOSPITAL,2.0
BOLIVAR GENERAL HOSPITAL,
BOLIVAR MEDICAL CENTER,2.0
BON SECOURS COMMUNITY HOSPITAL,3.0
BON SECOURS DEPAUL MEDICAL CENTER,3.0
BON SECOURS HOSPITAL,
BON SECOURS MARYVIEW MEDICAL CENTER,3.0
BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,4.0
BON SECOURS RICHMOND COMMUNITY HOSPITAL,3.0
BON SECOURS ST FRANCIS MEDICAL CENTER,3.0
BON SECOURS ST MARYS HOSPITAL,4.0
BON SECOURS-ST FRANCIS XAVIER HOSPITAL,5.0
BONNER GENERAL HOSPITAL,3.0
BOONE COUNTY HEALTH CENTER,4.0
BOONE COUNTY HOSPITAL,3.0
BOONE HOSPITAL CENTER,4.0
BOONE MEMORIAL HOSPITAL,3.0
BORGESS MEDICAL CENTER,3.0
BORGESS-LEE MEMORIAL HOSPITAL,4.0
BOSTON CHILDREN'S HOSPITAL,
BOSTON MEDICAL CENTER CORPORATION-,3.0
BOTHWELL REGIONAL HEALTH CENTER,2.0
BOULDER CITY HOSPITAL,3.0
BOUNDARY COMMUNITY HOSPITAL,
BOURBON COMMUNITY HOSPITAL,3.0
BOWDLE HOSPITAL - CAH,
BOX BUTTE GENERAL HOSPITAL,3.0
BOYS TOWN NATIONAL RESEARCH HOSPITAL,
BOZEMAN HEALTH DEACONESS HOSPITAL,3.0
BRADFORD REGIONAL MEDICAL CENTER,3.0
BRADLEY COUNTY MEDICAL CENTER,4.0
BRANDON REGIONAL HOSPITAL,3.0
BRANDYWINE HOSPITAL,2.0
BRATTLEBORO MEMORIAL HOSPITAL,4.0
BRAXTON COUNTY MEMORIAL HOSPITAL,
BRAZOSPORT REGIONAL HEALTH SYSTEM,3.0
BRECKINRIDGE MEMORIAL HOSPITAL,3.0
BRIDGEPORT HOSPITAL,2.0
BRIDGTON HOSPITAL,4.0
BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,4.0
BRIGHAM AND WOMEN'S HOSPITAL,3.0
BRIGHAM CITY COMMUNITY HOSPITAL,3.0
BRIGHTON HOSPITAL,
BRISTOL HOSPITAL,3.0
BRISTOW MEDICAL CENTER,3.0
"BROADDUS HOSPITAL ASSOCIATION, INC",
BROADLAWNS MEDICAL CENTER,3.0
BROADWATER HEALTH CENTER,
BRODSTONE MEMORIAL HOSP,
BRONSON BATTLE CREEK HOSPITAL,3.0
BRONSON LAKEVIEW HOSPITAL,4.0
BRONSON METHODIST HOSPITAL,3.0
BRONSON SOUTH HAVEN HOSPITAL,4.0
BRONX-LEBANON HOSPITAL CENTER,1.0
BROOKDALE HOSPITAL MEDICAL CENTER,1.0
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,2.0
BROOKINGS HEALTH SYSTEM,4.0
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,1.0
BROOKS COUNTY HOSPITAL,
BROOKS MEMORIAL HOSPITAL,2.0
BROOKWOOD MEDICAL CENTER,3.0
BROWARD HEALTH CORAL SPRINGS,2.0
BROWARD HEALTH IMPERIAL POINT,3.0
BROWARD HEALTH MEDICAL CENTER,2.0
BROWARD HEALTH NORTH,2.0
BROWN COUNTY HOSPITAL,
BROWNFIELD REGIONAL MEDICAL CENTER,3.0
BROWNWOOD REGIONAL MEDICAL CENTER,2.0
BRYAN MEDICAL CENTER,4.0
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,3.0
BUCHANAN COUNTY HEALTH CENTER,
BUCHANAN GENERAL HOSPITAL,3.0
BUCKTAIL MEDICAL CENTER,
BUCYRUS COMMUNITY HOSPITAL,3.0
BUENA VISTA REGIONAL MEDICAL CENTER,3.0
BUFFALO HOSPITAL,4.0
BULLOCK COUNTY HOSPITAL,3.0
BUNKIE GENERAL HOSPITAL,
BURDETT CARE CENTER,
BURGESS HEALTH CENTER,3.0
BURKE MEDICAL CENTER,
BURLESON ST JOSEPH HEALTH CENTER,
BURNETT MEDICAL CENTER,3.0
BUTLER COUNTY HEALTH CARE CENTER,3.0
BUTLER MEMORIAL HOSPITAL,4.0
BYRD REGIONAL HOSPITAL,3.0
CABELL HUNTINGTON HOSPITAL INC,2.0
CABINET PEAKS MEDICAL CENTER,3.0
CACHE VALLEY  HOSPITAL,
CALAIS REGIONAL HOSPITAL,4.0
CALDWELL MEDICAL CENTER,3.0
CALDWELL MEMORIAL HOSPITAL,2.0
"CALDWELL MEMORIAL HOSPITAL, INC",4.0
CALHOUN-LIBERTY HOSPITAL,
CALIFORNIA HOSPITAL MEDICAL CENTER LA,2.0
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,2.0
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,3.0
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,3.0
CALLAHAN EYE HOSPITAL,
CALLAWAY DISTRICT HOSPITAL,
CALUMET MEDICAL CENTER,
CALVERT MEMORIAL HOSPITAL,
CAMBRIDGE HEALTH ALLIANCE,3.0
CAMBRIDGE MEDICAL CENTER,4.0
CAMDEN CLARK MEDICAL CENTER,2.0
CAMDEN GENERAL HOSPITAL,3.0
CAMERON MEMORIAL COMMUNITY HOSPITAL INC,3.0
CAMERON REGIONAL MEDICAL CENTER,2.0
CAMPBELL COUNTY MEMORIAL HOSPITAL,2.0
CAMPBELLTON-GRACEVILLE HOSPITAL,
CANCER TREATMENT CENTERS OF AMERICA,
CANDLER COUNTY HOSPITAL,
CANDLER HOSPITAL,3.0
CANNON MEMORIAL HOSPITAL,3.0
CANONSBURG GENERAL HOSPITAL,2.0
CANTON-POTSDAM HOSPITAL,3.0
CANYON VISTA MEDICAL CENTER,1.0
CAPE CANAVERAL HOSPITAL,4.0
CAPE COD HOSPITAL,4.0
CAPE CORAL HOSPITAL,2.0
CAPE FEAR VALLEY HOKE HOSPITAL,
CAPE FEAR VALLEY MEDICAL CENTER,3.0
CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,3.0
CAPE REGIONAL MEDICAL CENTER INC,3.0
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,2.0
CAPITAL HEALTH SYSTEM-FULD CAMPUS,1.0
CAPITAL MEDICAL CENTER,3.0
CAPITAL REGION MEDICAL CENTER,3.0
CAPITAL REGIONAL MEDICAL CENTER,2.0
CARE REGIONAL MEDICAL CENTER,3.0
CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,2.0
CAREPOINT HEALTH-CHRIST HOSPITAL,2.0
